48.643,9100
35.464,7100
32.786,6700
36.542,7400
26.857,4700
28.45,6300
29.786,6500
37.875,6900
29.583,6100
30.667,6000
22.607,4700
31.375,6000
18.357,4600
20.417,3900
22.906,4100
12.75,3000
21.1,5400
12.167,3000
15.542,3000
0,6200
16.875,3000
7.5,3000
7.563,3000
9.5,3000
7.5,3000
4.75,3000
35.464,7100
31.583,6600
28.05,6000
26.857,4700
28.45,6300
22.036,4000
22.607,4700
28.208,5400
22.542,4400
18.357,4600
14.406,3300
17.833,3600
22.917,5000
22.25,5000
18.357,4100
22.792,4000
11.833,3000
16.083,3000
17.893,3500
21.333,4400
14.958,3200
13.5,3000
17.875,4000
14.781,3100
17.143,3900
16.458,3200
13.875,3000
8.917,3100
15.625,4600
7.708,3000
10.5,3000
8.964,3100
10.65,3900
15.625,3600
2.875,3000
7.1,3000
0.75,3000
0,3000
7.563,3000
1.55,3000
3.438,3000
2.167,3000
1.75,3000
1,3000
19.875,3600
4.25,3000
36.393,6800
35.964,6900
31.625,6700
28.05,6000
52.125,9900
26.208,5800
20.321,4500
25.208,4900
22.25,5000
23,4700
18.875,4300
16.25,3100
12.1,3000
17.143,3900
20.786,4200
13.857,3500
16.208,4000
11.75,3000
11.25,3000
10.1,3600
7.875,3000
2.813,3000
2.75,3000
4.75,5900
2.833,3000
2.5,3000
2.583,3000
1.333,3000
1,3000
2,3000
52.125,9900
37.958,7300
39.583,7900
30.607,6700
25.786,5500
33.125,6300
25.821,5000
24.333,5700
29.375,4900
29.85,6500
20.107,4300
23.417,4700
13.857,3500
17.688,3200
17.063,3300
18.5,4400
13.958,3900
16.167,3200
13.214,3200
11.214,3000
11.958,3000
25.208,5100
7.25,3000
24.25,3000
10.85,3000
9.5,3000
6.25,3000
7.5,3000
9.714,3000
2.875,3000
6.9,3000
3.6,3000
11.75,3000
6.25,3000
7.25,3000
2.583,3000
0,3000
1,3000
4.125,3000
1.083,3000
44.156,10400
41.6,8500
28.4,6500
40.75,7800
36.583,7000
33.125,6300
25.821,5000
24.333,5700
20.917,3700
20.75,4000
29.85,6500
18.875,3700
26.036,5000
13.958,3900
25.208,5100
7.542,3000
10.75,3000
7.917,3000
21.85,4200
8.1,3900
0.75,3000
8,3000
5.875,3000
2.25,3000
2.75,3000
48.643,9100
44.156,10400
36.393,6800
35.464,7100
35.964,6900
31.625,6700
32.786,6700
31.583,6600
28.05,6000
36.542,7400
52.125,9900
37.958,7300
41.6,8500
39.583,7900
28.4,6500
26.857,4700
28.45,6300
29.786,6500
37.875,6900
22.036,4000
26.208,5800
29.583,6100
30.607,6700
30.667,6000
22.607,4700
40.75,7800
36.583,7000
28.208,5400
31.375,6000
25.786,5500
22.542,4400
18.357,4600
20.321,4500
33.125,6300
25.208,4900
14.406,3300
17.833,3600
22.917,5000
22.25,5000
23,4700
25.821,5000
18.357,4100
24.333,5700
20.917,3700
20.75,4000
19.875,3600
29.375,4900
29.85,6500
18.875,4300
22.792,4000
11.833,3000
20.107,4300
16.083,3000
17.893,3500
21.333,4400
16.25,3100
18.875,3700
14.958,3200
13.5,3000
17.875,4000
20.417,3900
22.906,4100
14.781,3100
23.417,4700
12.1,3000
17.143,3900
20.786,4200
13.857,3500
17.688,3200
17.063,3300
18.5,4400
26.036,5000
13.958,3900
16.167,3200
16.458,3200
13.875,3000
13.214,3200
12.75,3000
11.214,3000
8.917,3100
16.208,4000
11.958,3000
15.625,4600
25.208,5100
7.542,3000
7.708,3000
11.75,3000
10.5,3000
21.1,5400
7.25,3000
12.167,3000
11.25,3000
8.964,3100
10.65,3900
24.25,3000
15.542,3000
10.75,3000
10.1,3600
7.917,3000
15.625,3600
21.85,4200
10.85,3000
9.5,3000
2.875,3000
6.25,3000
7.5,3000
9.714,3000
2.875,3000
6.9,3000
3.6,3000
7.875,3000
0,6200
7.1,3000
8.1,3900
16.875,3000
0.75,3000
2.813,3000
2.75,3000
7.5,3000
4.75,5900
0.75,3000
8,3000
0,3000
7.563,3000
11.75,3000
6.25,3000
7.25,3000
2.833,3000
5.875,3000
1.55,3000
2.5,3000
3.438,3000
2.167,3000
9.5,3000
2.583,3000
0,3000
1.75,3000
1.333,3000
7.5,3000
1,3000
4.125,3000
2.25,3000
4.75,3000
2.75,3000
4.25,3000
1.083,3000
2,3000
